method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
BM3D,18.624847115831923,0.300252190315508,4.089890350999667,16,kodim16.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,29.844525126007376,0.7533289864297659,4.634461274999921,16,kodim16.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.572755779215193,0.3479159035015867,0.0,17,kodim17.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.033562515876508,0.7700379666514396,0.22539073799998732,17,kodim17.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.721562186888086,0.3831448358652301,0.30324093299987,17,kodim17.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.05151556732752,0.40827634537858387,5.132332483000027,17,kodim17.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,28.959922424626534,0.8110338830069266,4.388119585999448,17,kodim17.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.674869672632465,0.3864601579513065,0.0,18,kodim18.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,27.83368639906253,0.7680723717684745,0.17627066299974103,18,kodim18.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.824978091238627,0.41069607734875146,0.2104642780004724,18,kodim18.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.112030782243455,0.428982421642315,4.827801231000194,18,kodim18.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,27.286122252623578,0.7840651774523855,4.924649573000352,18,kodim18.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,18.061047941450756,0.330709212217982,0.0,19,kodim19.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,27.78347970906583,0.7158024398380518,0.17326486500041938,19,kodim19.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.27103898292109,0.348114158496054,0.20256029099982698,19,kodim19.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.71288021457105,0.372102473584602,4.183328885000265,19,kodim19.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,27.374705828129898,0.7742929058500826,5.959602552999968,19,kodim19.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.762764351632285,0.31094297828784306,0.0,20,kodim20.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.759089639881186,0.7586631261585951,0.16713139900002716,20,kodim20.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,16.87594945539174,0.37121725511897913,0.2245978560004005,20,kodim20.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,17.084500565173975,0.38818243857586743,4.136246892999225,20,kodim20.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,29.60235315293015,0.8523553525984436,4.576183621999917,20,kodim20.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,18.146266220402115,0.34512464674721743,0.0,21,kodim21.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,28.096459852700093,0.7201311344413758,0.17562790000010864,21,kodim21.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.350454185209045,0.3654025501657567,0.2137278440004593,21,kodim21.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.809193455697525,0.3847330080350837,5.873948234999261,21,kodim21.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,27.961962770101575,0.7965115713583379,4.616000070000155,21,kodim21.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,18.14829428212848,0.3019004119977973,0.0,22,kodim22.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,28.745994830609817,0.7182827078700066,0.17782991399963066,22,kodim22.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.342464006648832,0.3167480259387443,0.2003587540002627,22,kodim22.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.792233190015278,0.34147563391805974,4.590769603000808,22,kodim22.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,28.605181301954428,0.7679191761410255,5.4009780679998585,22,kodim22.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.834275351296025,0.26211847949426015,0.0,23,kodim23.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.478820622617164,0.709453771135807,0.18735118099993997,23,kodim23.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.075344941766993,0.296147145628758,0.20585849399958533,23,kodim23.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.476052611165404,0.3164572711757762,3.9788613209993855,23,kodim23.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,29.55551889053517,0.7665059187188744,5.683707615000458,23,kodim23.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.99933021368706,0.4108416881576054,0.0,24,kodim24.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,27.864805503418268,0.7910849904301167,0.22462271899985353,24,kodim24.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.115562266493722,0.4234652424653026,0.24205016799987789,24,kodim24.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.50284918762192,0.44535420582424323,3.9311331689996223,24,kodim24.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,28.111210179770584,0.8256964458743333,4.319090777999918,24,kodim24.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,15.491938841908617,0.32270442728714743,0.0,1,kodim01.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,26.5444235839067,0.7855005646498203,0.17423227899962512,1,kodim01.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.50382908270555,0.32400391059298694,0.1752515719999792,1,kodim01.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.713832735776734,0.3316446426265938,5.656687250000687,1,kodim01.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,23.801937283456674,0.743276830925975,4.365915815000335,1,kodim01.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.905356010157949,0.10164748490199965,0.0,2,kodim02.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,29.302835220194773,0.611966511092782,0.1803801719997864,2,kodim02.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,14.960008033247252,0.10656902062760766,0.19118135499957134,2,kodim02.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.134362517963691,0.10890088500974435,4.093452341000557,2,kodim02.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.252729812709397,0.4665040489051691,6.457647862999693,2,kodim02.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.249896270132231,0.15724061472178485,0.0,3,kodim03.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,29.28850028090227,0.6676688788778782,0.17931261800003995,3,kodim03.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.286149835191159,0.1613065415226732,0.1869444129997646,3,kodim03.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.491461617806902,0.1659339372680696,4.090440760999627,3,kodim03.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.749207318847958,0.6243008939319886,5.258309806000398,3,kodim03.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.240357609197414,0.16651636357170657,0.0,4,kodim04.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,29.027148457419962,0.7042274869661331,0.23616971699993883,4,kodim04.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.273587281134365,0.1696213635443268,0.2792153070004133,4,kodim04.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.476656534766802,0.17548920997690726,4.759187120000206,4,kodim04.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.220123361582466,0.6473751543862175,4.583660809000321,4,kodim04.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.958128612082653,0.3983202181828765,0.0,5,kodim05.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,26.40865671233715,0.8480426746397018,0.18164503000025434,5,kodim05.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,14.967871210358258,0.3986186267471996,0.17621645700000954,5,kodim05.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.126203359423851,0.4042879491839684,4.93777528100054,5,kodim05.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.857873909356567,0.7723507714591511,4.643348363999394,5,kodim05.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.930202829336693,0.1986802142680221,0.0,6,kodim06.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,27.66483832891212,0.7041841702773571,0.17719938600021123,6,kodim06.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,14.952490026150524,0.20146288261683187,0.1987334519999422,6,kodim06.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.132181742777743,0.2066347786920498,4.006233363999854,6,kodim06.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.51633730566726,0.6670980152177909,6.293492049000633,6,kodim06.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.407262560762568,0.2537691737798333,0.0,7,kodim07.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.354488926788868,0.7665034545228482,0.1796084649995464,7,kodim07.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.42009475829266,0.2546165332042635,0.19046287899982417,7,kodim07.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.63578472619172,0.26120936489395175,3.918496999999661,7,kodim07.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.61783203133221,0.7459685939567229,4.429195078999328,7,kodim07.png,10,0.1,10,final,True,"(256, 256)",2.0
