method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
Proposed,16.405488261962937,0.3772588765992658,4.426334177999706,13,kodim13.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.639229919334543,0.13719310233596288,0.0,14,kodim14.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.297909443041686,0.4820328211878054,0.18519481900057144,14,kodim14.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.82206341382134,0.14011478858336343,0.18328847299926565,14,kodim14.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.449016624245527,0.15366274810300706,5.052309566000076,14,kodim14.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.406102973712567,0.3799271215021438,4.422552039999573,14,kodim14.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,10.938534543171642,0.09017730294297624,0.0,15,kodim15.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,22.02460006124936,0.36425566874589493,0.1784848810002586,15,kodim15.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.18686222946703,0.0937752262038468,0.18689309299952583,15,kodim15.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,11.648045038300802,0.1002276803549025,3.8471806860006836,15,kodim15.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,20.87647702631117,0.4439094679874007,5.852133259000766,15,kodim15.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.90701981632278,0.0628572641473014,0.0,16,kodim16.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.644732930358806,0.30940391179850274,0.17900288200053183,16,kodim16.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.257483931017019,0.06726433256459624,0.18918406699958723,16,kodim16.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.88747061586614,0.07364993427486685,4.018297695000001,16,kodim16.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.737514966631856,0.23677655225944175,4.455148087999987,16,kodim16.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.468007611020987,0.10462211985825305,0.0,17,kodim17.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.749876405752502,0.42978611139403355,0.1840945970006942,17,kodim17.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.716228205333532,0.10971164582444642,0.18849168999986432,17,kodim17.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.287167491149626,0.12034640722718028,5.359486618000119,17,kodim17.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.35031260913082,0.40058501957706666,4.412710524000431,17,kodim17.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.484557547591967,0.11551365526358463,0.0,18,kodim18.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.352901771404504,0.442541153549165,0.17817977400045493,18,kodim18.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.71106198167346,0.1186776050233559,0.18430043300031684,18,kodim18.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.259538175818204,0.1278983055348547,3.924864119000631,18,kodim18.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.777843004225304,0.3909006092514388,5.920821003000128,18,kodim18.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.951517230326694,0.12037072776189722,0.0,19,kodim19.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.10035148123108,0.37297932433632996,0.1777333070003806,19,kodim19.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.242902902174443,0.12454288550349324,0.18605377499989117,19,kodim19.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.905431123081852,0.1356359940626242,3.99489600600009,19,kodim19.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.037507498183423,0.28674567102464554,5.75521297799969,19,kodim19.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,10.63506357597653,0.08752852729825555,0.0,20,kodim20.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,22.399773520765972,0.3985030767680141,0.21377902400035964,20,kodim20.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,10.8965639459074,0.0915884664664416,0.2904838770000424,20,kodim20.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,11.266391437038767,0.0969380433507295,3.8694502460002695,20,kodim20.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,20.429818558507783,0.5297425227165216,4.589714953000112,20,kodim20.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.964615071037601,0.12246534620083584,0.0,21,kodim21.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.194641994377207,0.394659098711116,0.17633617100000265,21,kodim21.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.223936903296671,0.12593968052256493,0.18268874200020946,21,kodim21.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.893308059658438,0.13698615854096222,5.362350973000503,21,kodim21.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,16.405759364114232,0.28123075269191655,4.516246623999905,21,kodim21.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.008734074900945,0.0809292833219024,0.0,22,kodim22.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.45673130283797,0.35294590191616654,0.1757320830001845,22,kodim22.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.322045550262429,0.08495642332322938,0.19974720699974569,22,kodim22.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.984670627236895,0.09375234134228684,3.9591586679998727,22,kodim22.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.22108190710762,0.23810420265778706,5.908843023000372,22,kodim22.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.892923211492299,0.07865383613924361,0.0,23,kodim23.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.639505438184013,0.3340370921885115,0.17882323599951633,23,kodim23.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.225858540987469,0.08427651658253599,0.19073232099981396,23,kodim23.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.86357495723623,0.09203530951666349,3.9061661269997785,23,kodim23.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.01442602902567,0.26411973885099477,4.54478582199954,23,kodim23.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.7117620838625,0.12900187176317188,0.0,24,kodim24.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.22715936557197,0.4727289704207951,0.24341833000016777,24,kodim24.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.917203498884849,0.13249838628734156,0.2782632919997923,24,kodim24.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.539406789333118,0.1446652082090482,4.891316149999511,24,kodim24.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.29579713994758,0.3608799514731683,4.320135361000212,24,kodim24.png,25,0.2,20,final,True,"(256, 256)",2.0
